base	number	argnum	definition	note	definition_fin	note_fin
varastoida	1	2	Beneficiary	(tags: rare)	Hyötyjä	NULL
varata	1	0	Entity reserving something	NULL	Taho, joka varaa	NULL
varata	1	1	Entity reserved	NULL	Asia tai olio, joka varataan	NULL
varata	1	2	Entity for whom arg1 is reserved	NULL	Taho, jolle arg1 varataan	NULL
varata	1	3	Secondary attribute of arg1	E.g. "numerolla 10" ("with the [reservation] number 10")	Arg1:n toissijainen määre	Esim. "numerolla 10"
varautua	1	0	Entity who prepares	NULL	Taho, joka varautuu	NULL
varautua	1	2	Thing prepared for 	NULL	Asia, johon varaudutaan	NULL
varjella	1	0	Entity protecting	NULL	Taho, joka suojelee	NULL
varjella	1	1	Entity or thing protected	NULL	Taho tai asia, jota suojellaan	NULL
varjella	1	2	Danger, thing protected from	NULL	Vaara, asia, jolta suojellaan	NULL
varjella	1	3	Instrument	Can also be a subject	Väline	Voi olla myös subjekti
varjostaa	1	0	Thing that shadows	NULL	Asia, joka varjostaa	NULL
varjostaa	1	1	Entity or thing shadowed	NULL	Tahoi tai asia, jota varjostetaan	NULL
varjostaa	2	0	Entity who shadows	NULL	Taho, joka seuraa	NULL
varjostaa	2	1	Entity shadowed	NULL	Taho, jota seurataan	NULL
varmistaa	1	0	Entity ensuring	NULL	Taho, joka varmistaa	NULL
varmistaa	1	1	Thing ensured	NULL	Asia, joka varmistetaan	NULL
varmistaa	1	2	Beneficiary	(tags: rare)	Taho, jolle arg1 varmistetaan	NULL
varmistautua	1	1	Thing being confirmed	May be split: "kuolleiden määräksi varmistui 200" ("the number of the dead was confirmed [to be] 200")	Asia, joka tulee vahvistetuksi	Saattaa olla jakautunut: "kuolleiden määräksi varmistui 200"
varmistua	1	1	Thing being confirmed	May be split: "kuolleiden määräksi varmistui 200" ("the number of the dead was confirmed [to be] 200")	Asia, joka tulee vahvistetuksi	Saattaa olla jakautunut: "kuolleiden määräksi varmistui 200"
varoa	1	0	Watcher out	NULL	Varoaja	NULL
varoa	1	1	Thing watched out	NULL	Varottava asia	NULL
varoittaa	1	0	Entity warning	NULL	Taho, joka varoittaa	NULL
varoittaa	1	1	Thing warned about	NULL	Asia, josta varoitetaan	NULL
varoittaa	1	2	Entity warned	NULL	Taho, jota varoitetaan	NULL
varttua	1	1	Entity growing up	NULL	Taho, joka varttuu	NULL
varustaa	1	0	Provider	NULL	Varustaja	NULL
varustaa	1	1	Entity getting equipment	NULL	Varustuksen kohde	NULL
varustaa	1	2	Equipment	NULL	Varuste	NULL
vasoa	1	0	Entity who creates	NULL	Taho, joka luo	NULL
vasoa	1	1	Entity created	NULL	Taho, joka luodaan	NULL
vasoa	1	2	Materials used	(tags: rare)	Käytetty materiaali	NULL
vasoa	1	3	Beneficiary, entity for whom arg1 is created	(tags: rare)	Hyötyjä, taho jolle arg1 luodaan	NULL
vasoa	1	4	Attribute of arg1	(tags: rare) E.g. "Jumala loi ihmisen omaksi kuvakseen" ("God created man in his own image")	Arg1:n ominaisuus	Esim. "Jumala loi ihmisen omaksi kuvakseen"
vastaanottaa	1	0	Receiver	NULL	Vastaanottaja	NULL
vastaanottaa	1	1	Thing gotten	NULL	Vastaanotettu asia	NULL
vastaanottaa	1	2	Received from	NULL	Lähettäjä	NULL
vastata	1	0	Entity responding	NULL	Taho, joka vastaa	NULL
vastata	1	1	Response	NULL	Vastaus	NULL
vastata	1	2	Thing responded to	NULL	Asia, johon vastataan	NULL
vastata	1	3	Entity responded to	NULL	Taho, jolle vastataan	NULL
vastata	2	1	Entity or thing corresponding to something	NULL	Taho tai asia, joka vastaa jotakin	NULL
vastata	2	2	Object of comparison	NULL	Vertailukohta	NULL
vastata	3	0	Entity responsible	NULL	Taho, joka on vastuussa	NULL
vastata	3	1	Entity or thing for which arg0 is responsible	NULL	Taho tai asia, josta arg0 on vastuussa	NULL
vastustaa	1	0	Entity protesting	None	Taho, joka protestoi	None
